"","StartDate","EndDate","Progress","Duration.s","Finished","RecordedDate","responseID","LocationLatitude","LocationLongitude","percentCom","percentGov","operateFresh","operateMarine","wasInElodea","pax","hCostHigh","hCostLow","freshOutside","locOutside","purchaseOutside","purchaseYear","purchaseType","purchaseLoc","multiOwn","multiOwnEmail","age","Clean","sportfishConc","boatingSafetyConc","recValueConc","businessConc","realEstateConc","subsistConc","biodivConc","commFishConc","volunteer","emailAsk","percentPer","Income","ageBin","type"
"1","8/28/2018 12:31","8/28/2018 12:48",100,1031,TRUE,"8/28/2018 12:48","R_1FkCiQmxzOZRDev",61.145401,-149.7664032,0,0.1,"Yes","Yes","No","4",240,240,"No or did not report","","No",NA,"","","No","",52,"100% of the time",5,1,2,NA,NA,4,3,NA,"","",0.9,112500,"51-60","personal"
"2","8/28/2018 14:21","8/28/2018 14:22",100,52,TRUE,"8/28/2018 14:22","R_2ts39neDOF8rHk1",61.18859863,-149.8878021,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"3","8/28/2018 15:17","8/28/2018 15:17",100,25,TRUE,"8/28/2018 15:17","R_aboh3Edrotju1Gh",61.145401,-149.7664032,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"4","8/28/2018 15:20","8/28/2018 15:30",100,571,TRUE,"8/28/2018 15:30","R_xsZTdg5cBYfKlMJ",61.11199951,-149.9044037,0,0,"Yes","No","No","4",NA,NA,"No or did not report","","No",NA,"","","No","",57,"100% of the time",5,1,3,4,4,4,4,4,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",1,87500,"51-60","personal"
"5","8/28/2018 16:17","8/28/2018 16:19",100,125,TRUE,"8/28/2018 16:19","R_eY9qsmW6UmKC2ml",61.22309875,-149.8527985,0.1,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",0.9,87500,NA,"personal"
"6","8/28/2018 16:20","8/28/2018 16:21",100,40,TRUE,"8/28/2018 16:21","R_88rGFQqxvI0SFnr",61.22309875,-149.8527985,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"7","8/28/2018 16:26","8/28/2018 16:35",100,557,TRUE,"8/28/2018 16:35","R_2TZwaGf0QiWDAFd",61.52349854,-149.5747986,0,0,"Yes","Yes","No","2",0,0,"No or did not report","","No",NA,"","","No","",50,"Less than 100% of the time",5,1,1,1,4,2,1,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",1,137500,"41-50","personal"
"8","8/28/2018 16:32","8/28/2018 16:42",100,593,TRUE,"8/28/2018 16:42","R_WvMmm0jXvxLZuUN",61.11199951,-149.9044037,0,0,"Yes","No","No","4",10,10,"No or did not report","","No",NA,"","","No","",76,"100% of the time",5,5,5,1,5,5,5,1,"","gaveEmail",1,62500,"71-80","personal"
"9","8/28/2018 17:11","8/28/2018 17:39",100,1668,TRUE,"8/28/2018 17:39","R_24iOeqwvtePvpEs",61.2059021,-149.8231964,0,0,"Yes","No","No","3",30,15,"No or did not report","","No",NA,"","","No","",70,"100% of the time",5,3,5,3,3,3,3,4,"","gaveEmail",1,112500,"61-70","personal"
"10","8/28/2018 19:02","8/28/2018 19:03",100,46,TRUE,"8/28/2018 19:03","R_3jeCjUmlr0SYjd5",61.08070374,-149.7091064,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"11","8/28/2018 19:25","8/28/2018 19:42",100,1011,TRUE,"8/28/2018 19:42","R_3lGohtryMXElyFn",61.21490479,-149.2583008,0,0,"Yes","No","No","1",NA,NA,"No or did not report","","No",NA,"","","No","",58,"Less than 100% of the time",3,1,1,1,1,1,1,1,"","",1,62500,"51-60","personal"
"12","8/28/2018 20:23","8/28/2018 20:24",100,78,TRUE,"8/28/2018 20:24","R_1LbYgYeqUC4D48N",61.08070374,-149.7091064,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"13","8/28/2018 20:33","8/28/2018 20:34",100,47,TRUE,"8/28/2018 20:34","R_1NkswicpNJara8d",61.21490479,-149.2583008,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"14","8/28/2018 23:55","8/29/2018 0:05",100,613,TRUE,"8/29/2018 0:05","R_2Y9sbaCDYcQEUEH",61.52349854,-149.5747986,0,0,"Yes","No","No","1",0,0,"No or did not report","","No",NA,"","","No","",64,"100% of the time",5,3,2,1,1,5,5,2,"","gaveEmail",1,87500,"61-70","personal"
"15","8/29/2018 7:49","8/29/2018 7:50",100,20,TRUE,"8/29/2018 7:50","R_88iKGaLWhamNSrD",61.08070374,-149.7091064,0,0,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"16","8/29/2018 8:09","8/29/2018 8:27",100,1082,TRUE,"8/29/2018 8:27","R_1gjfOLZSD1PRB2f",61.145401,-149.7664032,0,0,"Yes","No","No","2",45,35,"No or did not report","","No",NA,"","","No","",60,"100% of the time",5,3,3,1,2,2,2,1,"","",1,175000,"51-60","personal"
"17","8/29/2018 8:28","8/29/2018 8:38",100,607,TRUE,"8/29/2018 8:38","R_27doxRY2YFgKADU",37.78059387,-121.9904022,0,0,"Yes","Yes","No","1",5,0,"No or did not report","","No",NA,"","","No","",50,"100% of the time",5,2,5,1,1,5,3,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",1,225000,"41-50","personal"
"18","8/29/2018 8:53","8/29/2018 9:02",100,521,TRUE,"8/29/2018 9:02","R_3qyPMBCJu7nOA3D",61.15939331,-149.8865051,0,0,"Yes","Yes","No","2",8,8,"No or did not report","","No",NA,"","","No","",NA,"100% of the time",2,1,5,5,5,5,3,4,"","",1,87500,NA,"personal"
"19","8/29/2018 11:21","8/29/2018 11:21",100,34,TRUE,"8/29/2018 11:21","R_RqXenvon45Lxrhf",58.58129883,-134.7698059,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"20","8/29/2018 11:36","8/29/2018 11:44",100,428,TRUE,"8/29/2018 11:44","R_1jKdXoaykxea0dt",61.11199951,-149.9044037,0,0,"Yes","No","No","4",NA,0,"No or did not report","","No",NA,"","","No","",46,"Less than 100% of the time",5,2,5,5,3,5,5,5,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","",1,112500,"41-50","personal"
"21","8/29/2018 11:38","8/29/2018 11:51",100,779,TRUE,"8/29/2018 11:51","R_1FSevhM9Y4aZiFU",58.58129883,-134.7698059,0.8,0,"Yes","Yes","No","2",50,25,"No or did not report","","Yes",2018,"Used","Washington","No","",34,"Less than 100% of the time",5,1,5,1,1,5,5,5,"","",0.2,62500,"31-40","commercial"
"22","8/29/2018 12:16","8/29/2018 12:37",100,1252,TRUE,"8/29/2018 12:37","R_3r0rjU9nGSJDsBy",61.21490479,-149.2583008,0,0,"Yes","No","No","4",100,50,"No or did not report","","No",NA,"","","Yes","gaveEmail",67,"Less than 100% of the time",5,1,1,1,1,5,1,1,"","gaveEmail",1,12500,"61-70","personal"
"23","8/29/2018 12:51","8/29/2018 12:52",100,53,TRUE,"8/29/2018 12:52","R_2UhEfw3mDIuzTu6",64.83779907,-147.7164001,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"24","8/29/2018 13:09","8/29/2018 13:10",100,59,TRUE,"8/29/2018 13:10","R_1Qu21p1YgxwFe6k",64.83779907,-147.7164001,0,0,"No","",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"25","8/29/2018 13:17","8/29/2018 13:18",100,29,TRUE,"8/29/2018 13:18","R_2ZIUCcmNbWMUUAt",61.17770386,-149.6383972,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"26","8/29/2018 13:22","8/29/2018 13:23",100,43,TRUE,"8/29/2018 13:23","R_3e2JVzuHawgobeR",61.15939331,-149.8865051,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"27","8/29/2018 13:11","8/29/2018 13:26",100,900,TRUE,"8/29/2018 13:26","R_u7y4gwk9E9ZkDxT",61.21809387,-149.9002991,0,0,"Yes","Yes","No","2",42,42,"No or did not report","","No",NA,"","","No","",35,"100% of the time",5,1,4,3,3,5,4,2,"Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","",1,112500,"31-40","personal"
"28","8/29/2018 13:24","8/29/2018 13:38",100,827,TRUE,"8/29/2018 13:38","R_3neMKg8wyYHl8To",61.18859863,-149.8878021,0,0,"Yes","No","No","4",NA,NA,"No or did not report","","No",NA,"","","No","",65,"Less than 100% of the time",4,5,5,1,3,1,4,1,"","gaveEmail",1,37500,"61-70","personal"
"29","8/29/2018 13:47","8/29/2018 13:59",100,736,TRUE,"8/29/2018 13:59","R_2Eyg4bu1yE1OEj1",61.52349854,-149.5747986,0,0,"Yes","No","No","6",1,1,"No or did not report","","No",NA,"","","No","",39,"Less than 100% of the time",4,5,4,5,3,3,4,3,"","",1,112500,"31-40","personal"
"30","8/29/2018 13:21","8/29/2018 14:01",100,2369,TRUE,"8/29/2018 14:01","R_CZTBTf4xwbdkd7H",61.2059021,-149.8231964,0,0,"Yes","Yes","No","2",40,10,"No or did not report","","No",NA,"","","No","",64,"100% of the time",4,2,3,3,3,3,2,4,"","gaveEmail",1,62500,"61-70","personal"
"31","8/29/2018 14:24","8/29/2018 14:27",100,150,TRUE,"8/29/2018 14:27","R_1IbzCYJeFLddb5d",61.16369629,-149.9916992,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"32","8/29/2018 14:28","8/29/2018 14:40",100,726,TRUE,"8/29/2018 14:40","R_3NwSIxGXsJo43EX",47.61030579,-122.3340988,0,0,"Yes","No","No","1",5,5,"No or did not report","","No",NA,"","","No","",75,"100% of the time",5,NA,5,NA,NA,5,NA,NA,"","gaveEmail",1,112500,"71-80","personal"
"33","8/29/2018 14:49","8/29/2018 14:51",100,94,TRUE,"8/29/2018 14:51","R_0Mt3XjtZ6vfCzwR",61.52349854,-149.5747986,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"34","8/29/2018 15:02","8/29/2018 15:04",100,87,TRUE,"8/29/2018 15:04","R_1IyBubsHkxrVqvl",61.5809021,-149.4414978,0,0.1,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",0.9,87500,NA,"personal"
"35","8/29/2018 15:05","8/29/2018 15:08",100,165,TRUE,"8/29/2018 15:08","R_2EhL2fJtFJVpHYi",56.73530579,-135.009201,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"36","8/29/2018 15:23","8/29/2018 15:24",100,38,TRUE,"8/29/2018 15:24","R_2VxXc7C6uvtePSc",61.08070374,-149.7091064,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"37","8/29/2018 14:16","8/29/2018 15:36",100,4775,TRUE,"8/29/2018 15:36","R_x9pc6mjHAm4CfKN",64.90060425,-148.1613007,0,0,"Yes","No","No","4",10,10,"No or did not report","","No",NA,"","","No","",72,"Less than 100% of the time",3,5,4,3,3,3,3,3,"Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",1,112500,"71-80","personal"
"38","8/29/2018 15:44","8/29/2018 15:45",100,46,TRUE,"8/29/2018 15:45","R_1OwMIAYeQvjC9ez",61.16369629,-149.9916992,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"39","8/29/2018 15:59","8/29/2018 16:00",100,39,TRUE,"8/29/2018 16:00","R_1KpzdopHIlrx4wp",61.52349854,-149.5747986,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"40","8/29/2018 15:54","8/29/2018 16:07",100,768,TRUE,"8/29/2018 16:07","R_2ru8EBm7PPcT14F",61.145401,-149.7664032,0,0,"Yes","No","No","3",NA,NA,"No or did not report","","No",NA,"","","No","",67,"Less than 100% of the time",5,NA,5,NA,NA,NA,NA,NA,"","",1,62500,"61-70","personal"
"41","8/29/2018 16:13","8/29/2018 16:15",100,140,TRUE,"8/29/2018 16:15","R_3snnUOYu2bpeMNn",59.40390015,-151.3238983,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"42","8/29/2018 16:21","8/29/2018 16:30",100,503,TRUE,"8/29/2018 16:30","R_2SiCP83GjZhwr12",61.22309875,-149.8527985,0.2,0,"Yes","No","No","2",8,5,"No or did not report","","No",NA,"","","No","",47,"Less than 100% of the time",5,1,5,5,1,1,5,1,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",0.8,62500,"41-50","personal"
"43","8/29/2018 17:12","8/29/2018 17:20",100,484,TRUE,"8/29/2018 17:20","R_3qdoUUabCvFaZI1",61.17770386,-149.6383972,0,0,"Yes","No","No","3",10,5,"No or did not report","","No",NA,"","","No","",30,"Less than 100% of the time",5,5,5,1,1,1,5,1,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",1,112500,"21-30","personal"
"44","8/29/2018 17:19","8/29/2018 17:20",100,68,TRUE,"8/29/2018 17:20","R_1FzUe1vvTIVp8oG",59.40390015,-151.3238983,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"45","8/29/2018 17:50","8/29/2018 17:51",100,57,TRUE,"8/29/2018 17:51","R_33kXsLHyxDf98zO",58.58129883,-134.7698059,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"46","8/29/2018 17:59","8/29/2018 18:00",100,84,TRUE,"8/29/2018 18:00","R_28OF7f2avX6aGTU",64.8184967,-147.7216034,0,0,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"47","8/29/2018 18:56","8/29/2018 18:57",100,30,TRUE,"8/29/2018 18:57","R_3qUMnRcgjfho4vq",57.15879822,-154.0800018,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"48","8/29/2018 18:59","8/29/2018 19:16",100,1015,TRUE,"8/29/2018 19:16","R_2zAfijqmXksv71n",60.66059875,-150.9060059,0,0,"Yes","Yes","Yes","2",50,0,"No or did not report","","No",NA,"","","No","",56,"100% of the time",5,1,3,3,3,3,3,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",1,87500,"51-60","personal"
"49","8/29/2018 19:19","8/29/2018 19:20",100,39,TRUE,"8/29/2018 19:20","R_1dBxNPEL0507mvo",47.75549316,-122.2991943,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"50","8/29/2018 19:20","8/29/2018 19:21",100,56,TRUE,"8/29/2018 19:21","R_1q7LdGITwXFMM2C",58.58129883,-134.7698059,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"51","8/29/2018 19:26","8/29/2018 19:26",100,23,TRUE,"8/29/2018 19:26","R_1gonEr0VVSLwDOj",64.93130493,-146.6123047,0,0,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"52","8/29/2018 19:40","8/29/2018 19:41",100,107,TRUE,"8/29/2018 19:41","R_4Uce1ZjZkVfrMK5",61.17770386,-149.6383972,0,0,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"53","8/29/2018 19:46","8/29/2018 19:48",100,69,TRUE,"8/29/2018 19:48","R_3ELqNBWnQSI3Rga",58.58129883,-134.7698059,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"54","8/29/2018 20:00","8/29/2018 20:02",100,86,TRUE,"8/29/2018 20:02","R_1hN16WmrbORxuY8",57.15879822,-154.0800018,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"55","8/29/2018 20:13","8/29/2018 20:13",100,42,TRUE,"8/29/2018 20:13","R_5iGgpD5obOdqrqF",55.46220398,-132.8392029,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"56","8/29/2018 20:13","8/29/2018 20:14",100,88,TRUE,"8/29/2018 20:14","R_1P7sYVCGZTgLZZ8",55.61529541,-131.5848083,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"57","8/29/2018 20:15","8/29/2018 20:15",100,47,TRUE,"8/29/2018 20:15","R_RzfyelQOgGdZ4M9",58.58129883,-134.7698059,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"58","8/29/2018 21:11","8/29/2018 21:19",100,483,TRUE,"8/29/2018 21:19","R_xgrMcTZ9aleYNhv",58.58129883,-134.7698059,0,0,"Yes","Yes","No","2",75,18,"No or did not report","","No",NA,"","","No","",61,"100% of the time",4,1,3,1,1,1,1,3,"","",1,137500,"61-70","personal"
"59","8/29/2018 21:29","8/29/2018 21:30",100,40,TRUE,"8/29/2018 21:30","R_2f8UWcLuN35PpVP",47.60620117,-122.3320999,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"60","8/29/2018 21:30","8/29/2018 21:31",100,67,TRUE,"8/29/2018 21:31","R_3E9XSOZCa6TNnDs",61.21809387,-149.9002991,0,0,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"61","8/29/2018 21:44","8/29/2018 21:45",100,82,TRUE,"8/29/2018 21:45","R_31gwNsqogG5ieaa",60.0552063,-149.3365021,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"62","8/29/2018 21:55","8/29/2018 21:58",100,211,TRUE,"8/29/2018 21:58","R_3IYvepVn1rrpzC5",61.16369629,-149.9916992,0.2,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",0.8,87500,NA,"personal"
"63","8/29/2018 22:54","8/29/2018 23:15",100,1234,TRUE,"8/29/2018 23:15","R_1LHHromkSrYDVDf",37.96170044,-121.2606964,0,0,"Yes","No","No","30",30,30,"No or did not report","","No",NA,"","","No","",81,"100% of the time",3,NA,2,NA,NA,5,4,NA,"","gaveEmail",1,62500,">80","personal"
"64","8/29/2018 23:58","8/29/2018 23:58",100,36,TRUE,"8/29/2018 23:58","R_4SHgZfWeVly1a6d",61.19050598,-149.9420013,0,0,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"65","8/30/2018 6:23","8/30/2018 6:31",100,489,TRUE,"8/30/2018 6:31","R_2eQgEgkyfV6E9sM",61.145401,-149.7664032,0,0,"Yes","No","No","3",20,5,"No or did not report","","No",NA,"","","No","",52,"100% of the time",5,5,5,3,3,5,4,4,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",1,225000,"51-60","personal"
"66","8/30/2018 7:20","8/30/2018 7:21",100,32,TRUE,"8/30/2018 7:22","R_3fPFpHkOKENGyor",58.58129883,-134.7698059,0.2,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",0.8,87500,NA,"personal"
"67","8/30/2018 7:32","8/30/2018 7:39",100,413,TRUE,"8/30/2018 7:40","R_9vHH9Q0D7sUgu4N",40.49809265,-74.31939697,0,0,"Yes","No","No","2",10,10,"No or did not report","","No",NA,"","","No","",45,"Less than 100% of the time",5,NA,NA,NA,NA,5,NA,NA,"","gaveEmail",1,225000,"41-50","personal"
"68","8/30/2018 7:37","8/30/2018 7:48",100,657,TRUE,"8/30/2018 7:48","R_20Mp2Spj3W2DCNQ",61.2059021,-149.8231964,0,0,"Yes","Yes","No","3",50,20,"No or did not report","","No",NA,"","","No","",52,"Less than 100% of the time",5,NA,NA,NA,NA,5,5,NA,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.,Decontamination: conducting training and workshops","gaveEmail",1,112500,"51-60","personal"
"69","8/30/2018 7:59","8/30/2018 8:00",100,39,TRUE,"8/30/2018 8:00","R_3MSuzobqzbIqrMJ",61.18859863,-149.8878021,0,0,"No","No",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"70","8/30/2018 8:01","8/30/2018 8:10",100,567,TRUE,"8/30/2018 8:10","R_AcIT05Cnx4ZUBuV",61.15939331,-149.8865051,0,0,"Yes","No","No","4",60,20,"No or did not report","","No",NA,"","","No","",64,"Less than 100% of the time",4,2,3,4,3,3,5,3,"","",1,87500,"61-70","personal"
"71","8/30/2018 8:21","8/30/2018 8:22",100,41,TRUE,"8/30/2018 8:22","R_1gNgjScQn2SECy5",61.145401,-149.7664032,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
"72","8/30/2018 8:21","8/30/2018 8:23",100,123,TRUE,"8/30/2018 8:23","R_2vlc3tsbmeyutUC",37.75100708,-97.8219986,0,0,"No","Yes",NA,"",NA,NA,"No or did not report","","",NA,"","","","",NA,"Less than 100% of the time",NA,NA,NA,NA,NA,NA,NA,NA,"","",1,87500,NA,"personal"
