OWNER.NAME.COMPANY.1,ADDR.MAIL.STREET,ADDR.MAIL.EXTRA.LINE,ADDR.MAIL.CITY,ADDR.MAIL.STATE,ADDR.MAIL.ZIP,QualtricsLink,ShortURL,Code,CustomLink,mailReturn,onlineDifficulty,noInternet,Notes
AIR MARINE COMPANY INC,PO BOX 8944              ,                         ,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_4O71ExPII743VTT&Q_CHL=gl,,LN222776,https://short.iseralaska.org/LN222776,,,,
AK BOAT RENTAL,12152 E PAUL AVE         ,                         ,CLOVIS              ,CA,93619,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6M9jfw5HxgH5yol&Q_CHL=gl,,DT667352,https://short.iseralaska.org/DT667352,,,,
AK RECREATIONAL MGMT,3705 ARCTIC BLVD #2337   ,                         ,ANCHORAGE           ,AK,99503,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_0VWQuenK6dtWEC1&Q_CHL=gl,,JX249384,https://short.iseralaska.org/JX249384,,,,
ALASKA BUSH ADVENTURES LLC,4236 HORIZON AVE         ,                         ,ANCHORAGE           ,AK,99517,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_cRMVOpxob8eE0KN&Q_CHL=gl,,AK954407,https://short.iseralaska.org/AK954407,1,,,
ALASKA CANOE EXPERIENCE LLC,716 TOTEM WAY            ,,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_bj7OIhIehG0cZpj&Q_CHL=gl,,XU546023,https://short.iseralaska.org/XU546023,,,,
ALASKA CHADUX CORP,2347 AZURITE CT          ,                         ,ANCHORAGE           ,AK,99507,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_9mDgyCaTQNxFLQV&Q_CHL=gl,,VC539356,https://short.iseralaska.org/VC539356,,,,
ALASKA DNR/DPOR,PO BOX 1247              ,                         ,SOLDOTNA            ,AK,99669,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6gqSLT3TNaPCWON&Q_CHL=gl,,GB674334,https://short.iseralaska.org/GB674334,,,,
ALASKA QUEST CHARTERS INC,PO BOX 35422             ,                         ,JUNEAU              ,AK,99803,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_1ZE1y1QnTSH6s5f&Q_CHL=gl,,SM799413,https://short.iseralaska.org/SM799413,,,,
ALASKA RAFT CONNESTION LLC,4235 AIRCRAFT DR D       ,                         ,ANCHORAGE           ,AK,99502,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_4ZoCch2FF8fv0VL&Q_CHL=gl,,VD101718,https://short.iseralaska.org/VD101718,,,,
ALASKA RAILROAD,PO BOX 107500            ,                         ,ANCHORAGE           ,AK,99510,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_81H5IppBOGdgzpb&Q_CHL=gl,,NS694729,https://short.iseralaska.org/NS694729,,,,
ALASKA SAFARI INC,PO BOX 190583            ,                         ,ANCHORAGE           ,AK,99519,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_aYwwrVEP6YyNVE9&Q_CHL=gl,,AA675248,https://short.iseralaska.org/AA675248,,,,
ALASKA SAILING CLUB,PO BOX 92554             ,                         ,ANCHORAGE           ,AK,99509,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6hxGKJHFTtziPvD&Q_CHL=gl,,VO879695,https://short.iseralaska.org/VO879695,,,,
ALASKA SPORTSMANS LODGE,PO BOX 221               ,                         ,KING SALMON         ,AK,99613,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_2uGs1OIeCLOJzQV&Q_CHL=gl,,OE775637,https://short.iseralaska.org/OE775637,,,,
ALASKA STATE PARKS,P O BOX 1247             ,                         ,SOLDOTNA            ,AK,99669,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_aeCYSVKmNQ8LFlP&Q_CHL=gl,,JR147899,https://short.iseralaska.org/JR147899,,,,
ALASKA TRAVEL ADVENTURES,9085 GLACIER HWY SUITE 30,                         ,JUNEAU              ,AK,99801,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6g0YRkBw9xbLmoR&Q_CHL=gl,,HQ267362,https://short.iseralaska.org/HQ267362,,,,
ALASKA WILDERNESS VOYAGES LLC,16320 BLACK BEAR CIRCLE  ,                         ,ANCHORAGE           ,AK,99516,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3FeFC3VJDyPWzAh&Q_CHL=gl,,VJ946455,https://short.iseralaska.org/VJ946455,,,,
ALASKAN VENTURES,121 FLIGHTLINE RD        ,                         ,PORT ALSWORTH       ,AK,99653,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_di2Bx9qMYLImNbn&Q_CHL=gl,,VA377953,https://short.iseralaska.org/VA377953,,,,
ALASKAS ANVIK RIVER LODGE,PO BOX 109               ,                         ,ANVIK               ,AK,99558,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_exMz10x2SUIEORn&Q_CHL=gl,,CH738290,https://short.iseralaska.org/CH738290,,,,
ALASKA'S FISHING UNLIMITED INC,44 MAMMOTH LANE          ,                         ,PORT ALSWORTH       ,AK,99653,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_bOOKtKFsAPiBlMF&Q_CHL=gl,,NA546557,https://short.iseralaska.org/NA546557,,,,
ALEUTIAN ADVENTURES,717 K ST                 ,                         ,ANCHORAGE           ,AK,99501,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_eVzSMfzaztU77St&Q_CHL=gl,,QG632239,https://short.iseralaska.org/QG632239,,,,
ALLEN MARINE TOURS INC.,PO BOX 1049              ,                         ,SITKA               ,AK,99835,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_aXgR8k2Kl3g697L&Q_CHL=gl,,ZF923056,https://short.iseralaska.org/ZF923056,,,,
ALLEN MARINE TOURS INC,PO BOX 1049              ,                         ,SITKA               ,AK,99835,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6yP74eieWeNZtyt&Q_CHL=gl,,PG464894,https://short.iseralaska.org/PG464894,,,,
ALYESKA PIPELINE SERVICE CO,POB 109 MS 730           ,                         ,VALDEZ              ,AK,99686,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_egG9L8RRnzBVuo5&Q_CHL=gl,,LU237771,https://short.iseralaska.org/LU237771,,,,
ALYESKA PIPELINE SERVICE,PO BOX 109               ,                         ,VALDEZ              ,AK,99686,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6VahcfoRa0Cs6Wh&Q_CHL=gl,,PM831614,https://short.iseralaska.org/PM831614,,,,
ALYESKA PIPELINE SIRVICE CO,3311 LATHROP ST          ,                         ,FAIRBANKS           ,AK,99701,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_9YnQwgaq4GvenFH&Q_CHL=gl,,NP377134,https://short.iseralaska.org/NP377134,,,,
AMAK TOWING,PO BOX 7655              ,                         ,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3xRMfwFFnChSkzb&Q_CHL=gl,,YL972651,https://short.iseralaska.org/YL972651,,,,
APICDA JOINT VENTURES,717 K STREET             ,                         ,ANCHORAGE           ,AK,99501,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_8cRRyWIPApj0ETP&Q_CHL=gl,,OV796056,https://short.iseralaska.org/OV796056,,,,
APICDA,717 K STREET             ,                         ,ANCHORAGE           ,AK,99501,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_eCzLJDrc5BdoEL3&Q_CHL=gl,,HX301476,https://short.iseralaska.org/HX301476,,,,
APPEL OIL CO,7841 W LEISURE CIR       ,                         ,WASILLA             ,AK,99623,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_d4mQj6JlL120edn&Q_CHL=gl,,QP473982,https://short.iseralaska.org/QP473982,,,,
ARCTIC CIRCLE CONSULTING,PO BOX 240427            ,                         ,ANCHORAGE           ,AK,99518,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3xCkLbCbCXQRUDH&Q_CHL=gl,,AC658646,https://short.iseralaska.org/AC658646,,,,
ARCTIC DIRTWORKS INC,PO BOX 55957             ,                         ,NORTH POLE          ,AK,99705,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3Jd7NUMR0MP3unj&Q_CHL=gl,,GQ883569,https://short.iseralaska.org/GQ883569,,,,
ARK PROPERTIES LLC,11204 N BAR 21 DRIVE     ,                         ,GLENNS FERRY        ,ID,83623,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_80TMLr7AO2XlvRr&Q_CHL=gl,,KW440324,https://short.iseralaska.org/KW440324,,,,
ARMSTRONG-KETA INC,PO BOX 21990             ,                         ,JUNEAU              ,AK,99802,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3EtDxfxfULLWDKR&Q_CHL=gl,,RP307595,https://short.iseralaska.org/RP307595,,,,
ARMSTRONG-KETA INC,PO BOX 21990             ,                         ,JUNEAU              ,AK,99802,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_9NWQncpb2fVRA0t&Q_CHL=gl,,GU446676,https://short.iseralaska.org/GU446676,,,,
ATA (ASSETS)LLC,BOX 31                   ,                         ,KING SALMON         ,AK,99613,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_eKHhDnpBho73G85&Q_CHL=gl,,DJ194517,https://short.iseralaska.org/DJ194517,,,,
ATA (ASSETS)LLC,PO BOX 31                ,                         ,KING SALMON         ,AK,99613,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_1XiWCiO5PxuAQVT&Q_CHL=gl,,CI147184,https://short.iseralaska.org/CI147184,,,,
AYAKULIK ADVENTURES,3901 HARRY NEILSEN AVE   ,                         ,KODIAK              ,AK,99615,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_czRfu8pRlKbFsIR&Q_CHL=gl,,YQ634858,https://short.iseralaska.org/YQ634858,,,,
B P EXPLORATION NORTH ALASKA,PO BOX 196612            ,BOC F-1                  ,ANCHORAGE           ,AK,99519,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3IBTt6WguqrHTpP&Q_CHL=gl,,JD778724,https://short.iseralaska.org/JD778724,,,,
BARANOF AND COMPANY,PO BOX 8523              ,                         ,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_9uAlViVYi1d96YJ&Q_CHL=gl,,GM796053,https://short.iseralaska.org/GM796053,,,,
BAYSIDE CHARTERS,PO BOX 3107              ,                         ,SITKA               ,AK,99835,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_9BT3KKVlseSnZOZ&Q_CHL=gl,,CP562205,https://short.iseralaska.org/CP562205,,,,
BEARS DEN CABINS LLC,PO BOX 365               ,                         ,CORDOVA             ,AK,99574,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3KptQET8J4VO5sp&Q_CHL=gl,,AL204229,https://short.iseralaska.org/AL204229,,,,
BOYER TOWING INC,PO BOX 8000              ,                         ,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3CUjhqXtUCZeDch&Q_CHL=gl,,HX546002,https://short.iseralaska.org/HX546002,,,,
BP EXPLORATION ALASKA,PO BOX 196612            ,                         ,ANCHORAGE           ,AK,99519,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_cGV9koNcuwKKDOd&Q_CHL=gl,,HH234182,https://short.iseralaska.org/HH234182,,,,
BRECHAN CONSTRUCTION INC,2705 MILL BAY RD         ,                         ,KODIAK              ,AK,99615,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_dhRVgu6XHF3U9gx&Q_CHL=gl,,AI324819,https://short.iseralaska.org/AI324819,,,,
BRICE INC,PO BOX 70668             ,                         ,FAIRBANKS           ,AK,99707,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_00NXN03T5ZUi32t&Q_CHL=gl,,FF124100,https://short.iseralaska.org/FF124100,,,,
BRISTOL BAY MISSION LODGE,111 W 16TH AVE,,,,,,,,,,,,
C R AND M A WAGGOOD LIV TRUST,PO BOX 111822            ,                         ,ANCHORAGE           ,AK,99511,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_8AJNL4XHHxPQs6x&Q_CHL=gl,,NL600066,https://short.iseralaska.org/NL600066,,,,
CAMPIONE RACING LLC,PO BOX 497               ,                         ,CRAIG               ,AK,99921,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6E7avyGKsJRcmW1&Q_CHL=gl,,VK742228,https://short.iseralaska.org/VK742228,,,,
CATCH A KING,PO BOX 480               ,                         ,CRAIG               ,AK,99921,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3xEXXQCbOd1Qsmx&Q_CHL=gl,,NS624036,https://short.iseralaska.org/NS624036,,,,
CHANNEL ELECTRIC,1155 COPPER RIDGE LANE   ,                         ,KETCHIKAN           ,AK,99901,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6PeGBhlBoQdH0Kp&Q_CHL=gl,,UQ396521,https://short.iseralaska.org/UQ396521,,,,
CITY OF HOMER PORT & HARBOR,491 E PIONEER AVE        ,                         ,HOMER               ,AK,99603,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_dc1bLoh4P5AfpXv&Q_CHL=gl,,YB995956,https://short.iseralaska.org/YB995956,,,,
CITY OF NUNAPITCHUK,PO BOX 190               ,                         ,NUNAPITCHUK         ,AK,99641,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_72O2xOuGpsc61GR&Q_CHL=gl,,JU665463,https://short.iseralaska.org/JU665463,,,,
CITY OF SEWARD,PO BOX 167               ,                         ,SEWARD              ,AK,99664,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_bdCKkn7VmVKFeFn&Q_CHL=gl,,GY436956,https://short.iseralaska.org/GY436956,,,,
CLARK DATA LLC,999 TANALIAN DR          ,                         ,PORT ALSWORTH       ,AK,99653,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6LtLuFJHx7ws2Md&Q_CHL=gl,,ZJ858711,https://short.iseralaska.org/ZJ858711,,,,
COFFMAN COVE BT HSE & LDGE LLC,BOX 18107                ,                         ,COFFMAN COVE        ,AK,99918,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_02H3mqnNwWSyKCV&Q_CHL=gl,,MU677446,https://short.iseralaska.org/MU677446,,,,
COFFMAN COVE BT HSE & LDGE LLC,PO BOX 18157             ,                         ,COFFMAN COVE        ,AK,99918,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_cC5z5XUiZI8D2rr&Q_CHL=gl,,YJ784118,https://short.iseralaska.org/YJ784118,,,,
COFFMAN COVE BUNKHOUSE LLC,PO BOX 18107             ,                         ,COFFMAN COVE        ,AK,99918,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_2geZ02jFe5PwK5T&Q_CHL=gl,,UL212445,https://short.iseralaska.org/UL212445,,,,
COLDWATER TAXI AND FREIGHT LLC,PO BOX 709               ,                         ,HOMER               ,AK,99603,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_7U6iT2Q4WXVk9PD&Q_CHL=gl,,AT885383,https://short.iseralaska.org/AT885383,,,,
CONOCO PHILLIPS AK INC,PO BOX 196105 KSRC NSK 28,                         ,ANCHORAGE           ,AK,99519,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_agHjrbl4EK79PDf&Q_CHL=gl,,LX296815,https://short.iseralaska.org/LX296815,,,,
CONOCO PHILLIPS INC/ALPINE,PO BOX 100360 ALP-14     ,                         ,ANCHORAGE           ,AK,99510,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_aYrWemuKu4RMOl7&Q_CHL=gl,,AZ549959,https://short.iseralaska.org/AZ549959,,,,
COOK INLET AQUACULTURE ASSOC,40610 K-BEACH ROAD       ,                         ,KENAI               ,AK,99611,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_2fRHzaVmE3kNOaF&Q_CHL=gl,,AK568612,https://short.iseralaska.org/AK568612,,,,
COOK INLET AQUACULTURE,40610 K BEACH RD         ,                         ,KENAI               ,AK,99611,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_0VxEcaHhQ6zxZk1&Q_CHL=gl,,BK266693,https://short.iseralaska.org/BK266693,,,,
COOK INLET AQUACULTURE,40610 KALIFONSKI BEACH   ,                         ,KENAI               ,AK,99611,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_3h28UoIvBwGrUGx&Q_CHL=gl,,HT105027,https://short.iseralaska.org/HT105027,,,,
CRAIG TRIBAL ASSOCIATION,PO BOX 828               ,                         ,CRAIG               ,AK,99921,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_9XlfMRr2sXVdhaZ&Q_CHL=gl,,FX539946,https://short.iseralaska.org/FX539946,,,,
DEEP BLUE CHARTER,PO BOX 274               ,                         ,GUSTAVUS            ,AK,99826,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_eyudvdBKrKpq5k9&Q_CHL=gl,,BM739673,https://short.iseralaska.org/BM739673,,,,
DEEPSTRIKE SPORTFISHING LLC,PO BOX 575               ,                         ,ANCHOR POINT        ,AK,99556,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6VcQdsLPG4usnVb&Q_CHL=gl,,AK772282,https://short.iseralaska.org/AK772282,,,,
DOC WARNER'S AK FISHING LLC,1673 TEMPLE VIEW DRIVE   ,                         ,BOUNTIFUL           ,UT,84010,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_6SgjEl1gspvtzKt&Q_CHL=gl,,RI134546,https://short.iseralaska.org/RI134546,,,,
DOUGLAS ISLAND PINK & CHUM INC,2697 CHANNEL DRIVE       ,                         ,JUNEAU              ,AK,99801,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_0lngf4ETrGdjIwd&Q_CHL=gl,,RC902477,https://short.iseralaska.org/RC902477,,,,
EAGLES WINGS RETREAT LLC,P O BOX 384              ,                         ,KLAWOCK             ,AK,99925,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_0ClewsgnS9MGD6l&Q_CHL=gl,,JG969809,https://short.iseralaska.org/JG969809,,,,
EARL NOLAN BENNETT TRST 1 2012,PO BOX 1605              ,                         ,VALDEZ              ,AK,99686,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_5hjoUY5wKUpFRtj&Q_CHL=gl,,AH267286,https://short.iseralaska.org/AH267286,,,,
ENI DEVELOPMENT,PO BOX 111228            ,                         ,ANCHORAGE           ,AK,99511,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_2lqGKqnlp4pwp6d&Q_CHL=gl,,SJ345572,https://short.iseralaska.org/SJ345572,,,,
EPIC ANGLING AND ADVENTURE LLC,2319 WESTOAK DR          ,                         ,AUSTIN              ,TX,78704,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_38bssCH3z3MmKZ7&Q_CHL=gl,,YW827368,https://short.iseralaska.org/YW827368,,,,
ETRAC EQUIPMENT LLC,617 KNIK GOOSEBAY RD STE ,C                        ,WASILLA             ,AK,99654,http://uaa.co1.qualtrics.com/jfe/form/SV_06es9yDkSMD0hDf?Q_DL=e5weCGYACSnS4BL_06es9yDkSMD0hDf_MLRP_e8p3H4sklJcq805&Q_CHL=gl,,OM912780,https://short.iseralaska.org/OM912780,,,,
